,ID,sex,d15N,d13C
Gnaper,IXD8,NA,6.771980831,-19.41862652
Gnaper,IXD9,NA,6.295571805,-19.71790119
Gnaper,IXE1,NA,6.442006117,-19.24216309
Gnaper,IXE2,NA,6.902218815,-20.35421569
Gnaper,IXE3,NA,6.515172177,-19.5834122
Gnaper,IXE4,NA,7.165383653,-19.29352358
Tremac,IXE5,M,7.327214413,-19.75102614
Tremac,IXE6,M,7.968631733,-19.01627307
Tremac,IXE8,M,8.300007667,-19.37847841
Treuni,IXE9,F,9.025858566,-19.68696628
Treuni,IXF1,NA,7.962966494,-19.80565441
Treuni,IXF2,M,8.920811426,-19.60258009
Treuni,IXF3,M,7.508685824,-19.9801349
XenniS,IXF4,F,6.387757784,-23.22485364
Treuni,IXF5,M,8.055807381,-20.05065111
Treuni,IXF6,F,8.725154105,-19.78989943
Treuni,IXF7,NA,7.559043265,-20.42428093
Treuni,IXF9,NA,6.907997293,-22.18122878
Treuni,IXG1,M,8.120477255,-19.95047336
Batgra,IXG2,NA,9.071116469,-19.76257918
Batgra,IXG3,NA,8.761101759,-20.23212325
Xencau,IXG4,NA,7.36157865,-20.45802435
Xencau,IXG5,NA,8.044210529,-19.93136244
Benmel,IXG6,NA,5.82982246,-21.4504673
Gwcchr,IXG7,NA,8.814484068,-20.16264313
Gwcsta,IXG8,NA,8.588898965,-20.20315429
Gwcsta,IXG9,NA,7.952539529,-19.589412
Gwcsta,IXH1,NA,7.627522356,-19.9535846
Gwcsta,IXH2,NA,8.137089047,-19.28939128
Gwcsta,IXH3,NA,8.238791088,-20.32931575
Gwcsta,IXH4,NA,8.379195146,-19.77182614
Gwcbel,IXH5,NA,7.798505608,-20.30425447
Gwcbel,IXH6,NA,8.26269605,-19.56928565
Gwcbel,IXH7,NA,7.624057144,-20.63833665
Gwcbel,IXH8,NA,8.528777487,-20.60948035
Gwcbel,IXI1,M,7.560707115,-20.25827496
Gwcbel,IXI2,F,8.478066434,-20.08458889
Benmel,IXI3,NA,5.327755489,-21.28791575
Benmel,IXI4,NA,5.5425,-21.4623
Benmel,IXI5,NA,5.839500089,-21.18388724
Benmel,IXI6,NA,5.730961909,-21.46293173
Benmel,IXI7,NA,5.774650663,-21.25878203
Benmel,IXI8,NA,6.034654262,-21.39547559
Regcal,IYB4,F,5.7855237,-20.94415042
Benmel,IZA4,F,5.585741684,-21.51808458
HemstZ,IZA5,NA,8.582276271,-20.33262846
Lchaur,IZA6,F,8.548315546,-20.48404227
Perecc,IZB4,NA,9.249153091,-18.96640528
Regcal,IZB5,NA,7.087631032,-18.81409363
Boumic,IZB6,NA,7.877971264,-20.60941741
Xchhec,IZB8,M,6.473468097,-20.75572565
Xchhec,IZB9,M,6.744370319,-20.98532541
Xchhec,IZC1,M,6.860806015,-20.65808511
Xchhec,IZC2,M,6.715190583,-19.66405457
Xencau,IZC3,NA,8.02955269,-20.71919207
Gwcbel,IZC9,NA,8.20239661,-19.54415115
Gwcbel,IZD1,NA,7.726914266,-20.3521453
Gwcbel,IZD2,NA,8.312892283,-19.79059131
Gwcbel,IZD3,NA,7.502606779,-20.14663294
Batfas,IZD4,M,8.6,-21.6
Gwcchr,IZF2,NA,9.190074581,-20.43637329
Gwcchr,IZF3,NA,9.339888533,-20.26744303
Gwcchr,IZF4,NA,9.084342722,-20.06459486
Tresti,IZF9,M,6.67195182,-20.16010469
Tresti,IZG1,M,6.936390922,-20.83154762
Tresti,IZG3,M,6.899841282,-20.03484088
Tresti,IZG4,M,7.050043732,-20.03894305
Tresti,IZG5,M,6.561719059,-20.49580571
TeldhS,IZH3,NA,7.517937287,-20.02916489
TeldhS,IZH4,NA,7.486433344,-19.30831834
Xencau,JAA1,F,7.624378692,-18.38698507
Xencau,JAA2,NA,7.796430838,-19.12013249
Xencau,JAA3,NA,7.676607404,-18.65991565
Xencau,JAA4,NA,7.556543974,-18.65491708
Baicen,JAB7,M,8.055121248,-19.87819396
Baicen,JAB8,F,8.484050246,-19.70679048
Tremac,JAC2,M,7.479647751,-19.73423163
Plemul,JAC4,NA,9.599839996,-19.79058374
Gnaper,JAC5,NA,7.982588843,-19.82333445
