spp	Tribe	id	Pair_bonding	Sex_caregiver	sex	OT	VT	OTRa	OTRb	VTR1Aa	VTR1Ab	VTR2Aa	VTR2Ab	VTR2Ba	VTR2Bb	d15N	d13C
Permic	Perissodini	MUG9_LUD3	1	1	F	6.58162707445658	6.18066585866147	3.49564783940421	3.00736865030617	2.10508130086365	1.62542994863616	2.52881308129982	1.77541427818865	2.46598934833993	2.80538801292298	2.142640764684	0.984928820666154
Permic	Perissodini	MUC7_LYF5	1	1	F	6.58671025852484	6.18036471070258	3.6224243821269	2.79950285018234	2.47912137176112	1.46768796881491	2.94569234479997	1.60975779839844	2.55498833080449	2.33856304377092	2.142640764684	0.984928820666154
Peteph	Tropheini	IPC7_JGA4	NA	0	F	7.75988485520175	6.01714469163044	2.70598431364623	1.98845020137375	2.86080352665485	1.57430063713783	2.33450506341612	1.21003905889555	1.74030502774504	0	-1.62293881576493	1.46765955363303
Peteph	Tropheini	LOB4_NIH7	NA	0	M	8.27314752278335	5.9455592473648	2.71918585044871	2.88277919422568	2.62072645063693	2.19466830075707	3.08558730721016	1.47607626534653	3.44374773166588	1.01990896456922	-1.62293881576493	1.46765955363303
Peteph	Tropheini	IPC1_JFH1	NA	0	F	7.85114248237287	6.8276920212244	2.95322202271238	2.79695568406091	3.55383845513636	1.92550654011954	2.806186071809	0.948035843274092	2.93075531201208	1.05099615150001	-1.62293881576493	1.46765955363303
Peteph	Tropheini	LPI6_NHI8	NA	0	M	6.93791754238854	5.37745626659326	3.50109897298166	3.12648477418041	2.96025183850767	0.726287248973574	2.53058119011577	0.72404905992226	3.25092004999016	2.13212702018642	-1.62293881576493	1.46765955363303
Peteph	Tropheini	LPE5_NDD3	NA	0	M	7.56847299604012	5.78693634832119	2.119149303978	1.98893476253016	2.63434838444727	0.461438663255669	2.60024001427107	1.85919791736459	1.87841028760748	1.84742973578204	-1.62293881576493	1.46765955363303
Peteph	Tropheini	LOB3_NIG6	NA	0	F	7.6780726095534	5.85220313783724	3.16039714868862	2.79987166188879	2.99221643995748	1.64134810734595	2.82104932159612	1.42707619340411	3.17439539212986	2.21824738035556	-1.62293881576493	1.46765955363303
Petfam	Tropheini	LPA5_MXH7	0	0	M	8.8531336138643	7.07770872280352	3.45874932487798	3.22761463427918	3.28636591315012	0.744896122916004	2.24807876070052	2.42648778482533	3.60871227138928	1.7354320601972	-1.61601753444823	1.81150131164751
Petfam	Tropheini	IYA6_HAE5	0	0	F	3.13388175153508	2.34832761357181	3.31442202499945	2.64667626656084	2.93577974544927	1.07048413045061	2.45901107732261	2.63347143320218	3.24242095728575	0.96206351461202	-1.61601753444823	1.81150131164751
