Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.328000	1.216372	1000	0.328000	0.328000	0.298493	
1000	0.319000	1.216372	1000	0.319000	0.319000	0.298604	
1000	0.325000	1.216372	1000	0.325000	0.325000	0.298746	
1000	0.355000	1.216372	1000	0.355000	0.355000	0.299047	
1000	0.316000	1.216372	1000	0.316000	0.316000	0.299137	
1000	0.348000	1.216372	1000	0.348000	0.348000	0.299395	
1000	0.319000	1.216372	1000	0.319000	0.319000	0.299498	
1000	0.310000	1.216372	1000	0.310000	0.310000	0.299553	
1000	0.312000	1.216372	1000	0.312000	0.312000	0.299618	
1000	0.312000	1.216372	1000	0.312000	0.312000	0.299682	
1000	0.326000	1.216372	1000	0.326000	0.326000	0.299818	
1000	0.322000	1.216372	1000	0.322000	0.322000	0.299932	
1000	0.319000	1.216372	1000	0.319000	0.319000	0.300029	
1000	0.346000	1.216372	1000	0.346000	0.346000	0.300262	
1000	0.309000	1.216372	1000	0.309000	0.309000	0.300307	
1000	0.364000	1.216372	1000	0.364000	0.364000	0.300627	
1000	0.328000	1.216372	1000	0.328000	0.328000	0.300763	
1000	0.327000	1.216372	1000	0.327000	0.327000	0.300894	
1000	0.335000	1.216372	1000	0.335000	0.335000	0.301063	
1000	0.359000	1.216372	1000	0.359000	0.359000	0.301348	
1000	0.324000	1.216372	1000	0.324000	0.324000	0.301459	
1000	0.317000	1.216372	1000	0.317000	0.317000	0.301535	
1000	0.313000	1.216372	1000	0.313000	0.313000	0.301591	
1000	0.333000	1.216372	1000	0.333000	0.333000	0.301743	
1000	0.313000	1.216372	1000	0.313000	0.313000	0.301797	
1000	0.321000	1.216372	1000	0.321000	0.321000	0.301889	
1000	0.301000	1.216372	1000	0.301000	0.301000	0.301884	
1000	0.313000	1.216372	1000	0.313000	0.313000	0.301937	
1000	0.277000	1.216372	1000	0.277000	0.277000	0.301819	
