Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.360000	0.934272	1000	0.360000	0.360000	0.314303	
1000	0.286000	0.934272	1000	0.286000	0.286000	0.314131	
1000	0.358000	0.934272	1000	0.358000	0.358000	0.314396	
1000	0.335000	0.934272	1000	0.335000	0.335000	0.314519	
1000	0.314000	0.934272	1000	0.314000	0.314000	0.314516	
1000	0.305000	0.934272	1000	0.305000	0.305000	0.314460	
1000	0.341000	0.934272	1000	0.341000	0.341000	0.314616	
1000	0.286000	0.934272	1000	0.286000	0.286000	0.314448	
1000	0.314000	0.934272	1000	0.314000	0.314000	0.314446	
1000	0.314000	0.934272	1000	0.314000	0.314000	0.314443	
1000	0.346000	0.934272	1000	0.346000	0.346000	0.314625	
1000	0.337000	0.934272	1000	0.337000	0.337000	0.314752	
1000	0.310000	0.934272	1000	0.310000	0.310000	0.314725	
1000	0.321000	0.934272	1000	0.321000	0.321000	0.314761	
1000	0.324000	0.934272	1000	0.324000	0.324000	0.314813	
1000	0.284000	0.934272	1000	0.284000	0.284000	0.314641	
1000	0.353000	0.934272	1000	0.353000	0.353000	0.314854	
1000	0.360000	0.934272	1000	0.360000	0.360000	0.315103	
1000	0.339000	0.934272	1000	0.339000	0.339000	0.315235	
1000	0.354000	0.934272	1000	0.354000	0.354000	0.315446	
1000	0.353000	0.934272	1000	0.353000	0.353000	0.315650	
1000	0.309000	0.934272	1000	0.309000	0.309000	0.315615	
1000	0.318000	0.934272	1000	0.318000	0.318000	0.315627	
1000	0.313000	0.934272	1000	0.313000	0.313000	0.315613	
1000	0.327000	0.934272	1000	0.327000	0.327000	0.315674	
1000	0.354000	0.934272	1000	0.354000	0.354000	0.315877	
1000	0.330000	0.934272	1000	0.330000	0.330000	0.315951	
1000	0.317000	0.934272	1000	0.317000	0.317000	0.315956	
1000	0.316000	0.934272	1000	0.316000	0.316000	0.315957	
1000	0.316000	0.934272	1000	0.316000	0.316000	0.315957	
1000	0.334000	0.934272	1000	0.334000	0.334000	0.316050	
1000	0.363000	0.934272	1000	0.363000	0.363000	0.316291	
1000	0.377000	0.934272	1000	0.377000	0.377000	0.316600	
1000	0.344000	0.934272	1000	0.344000	0.344000	0.316740	
1000	0.323000	0.934272	1000	0.323000	0.323000	0.316771	
1000	0.308000	0.934272	1000	0.308000	0.308000	0.316727	
1000	0.346000	0.934272	1000	0.346000	0.346000	0.316873	
1000	0.359000	0.934272	1000	0.359000	0.359000	0.317083	
1000	0.301000	0.934272	1000	0.301000	0.301000	0.317003	
1000	0.324000	0.934272	1000	0.324000	0.324000	0.317038	
1000	0.327000	0.934272	1000	0.327000	0.327000	0.317087	
1000	0.352000	0.934272	1000	0.352000	0.352000	0.317257	
1000	0.350000	0.934272	1000	0.350000	0.350000	0.317416	
1000	0.311000	0.934272	1000	0.311000	0.311000	0.317385	
1000	0.307000	0.934272	1000	0.307000	0.307000	0.317335	
1000	0.315000	0.934272	1000	0.315000	0.315000	0.317324	
1000	0.313000	0.934272	1000	0.313000	0.313000	0.317303	
1000	0.338000	0.934272	1000	0.338000	0.338000	0.317401	
1000	0.366000	0.934272	1000	0.366000	0.366000	0.317631	
1000	0.331000	0.934272	1000	0.331000	0.331000	0.317693	
1000	0.334000	0.934272	1000	0.334000	0.334000	0.317770	
1000	0.289000	0.934272	1000	0.289000	0.289000	0.317636	
1000	0.315000	0.934272	1000	0.315000	0.315000	0.317624	
1000	0.309000	0.934272	1000	0.309000	0.309000	0.317584	
1000	0.348000	0.934272	1000	0.348000	0.348000	0.317723	
1000	0.339000	0.934272	1000	0.339000	0.339000	0.317820	
1000	0.308000	0.934272	1000	0.308000	0.308000	0.317776	
1000	0.339000	0.934272	1000	0.339000	0.339000	0.317872	
1000	0.349000	0.934272	1000	0.349000	0.349000	0.318012	
1000	0.337000	0.934272	1000	0.337000	0.337000	0.318097	
1000	0.323000	0.934272	1000	0.323000	0.323000	0.318119	
1000	0.337000	0.934272	1000	0.337000	0.337000	0.318203	
1000	0.310000	0.934272	1000	0.310000	0.310000	0.318167	
1000	0.354000	0.934272	1000	0.354000	0.354000	0.318325	
1000	0.338000	0.934272	1000	0.338000	0.338000	0.318411	
1000	0.358000	0.934272	1000	0.358000	0.358000	0.318584	
1000	0.348000	0.934272	1000	0.348000	0.348000	0.318712	
1000	0.351000	0.934272	1000	0.351000	0.351000	0.318851	
1000	0.322000	0.934272	1000	0.322000	0.322000	0.318865	
1000	0.277000	0.934272	1000	0.277000	0.277000	0.318685	
1000	0.324000	0.934272	1000	0.324000	0.324000	0.318708	
1000	0.324000	0.934272	1000	0.324000	0.324000	0.318731	
