Options:
Model:                           Discrete: Independent
Tree File Name:                  ./OTVT/Pair_bonding/phyl_tree/trees_translated/OT_9.nex
Data File Name:                  /Users/psorigue/fil/BayesTraitsV4/OTVT/Pair_bonding/phyl_tree/10e7/runs//OT_9_ind.txt
Log File Name:                   /Users/psorigue/fil/BayesTraitsV4/OTVT/Pair_bonding/phyl_tree/10e7/runs//OT_9_ind.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2974659746
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         100000
MCMC ML Start:                   False
Schedule File:                   /Users/psorigue/fil/BayesTraitsV4/OTVT/Pair_bonding/phyl_tree/10e7/runs//OT_9_ind.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - uniform 0.00 100.00 
        beta1 - uniform 0.00 100.00 
        alpha2 - uniform 0.00 100.00 
        beta2 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       166
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
162000	-103.277233	1	0.027559	35.407500	0.145817	0.178733	0.177406	0.322594	0.177406	0.322594	
163000	-104.270584	1	0.833576	85.260466	0.155705	0.096085	0.330756	0.169244	0.330756	0.169244	
164000	-104.523304	1	0.817669	29.817629	0.177119	0.199559	0.202532	0.297468	0.202532	0.297468	
165000	-105.178073	1	0.891167	27.503849	0.201433	0.194673	0.224406	0.275594	0.224406	0.275594	
166000	-103.611187	1	1.222763	68.200643	0.221629	0.186114	0.241661	0.258339	0.241661	0.258339	
167000	-101.988948	1	0.392265	72.505265	0.125484	0.136434	0.184985	0.315015	0.184985	0.315015	
168000	-103.845068	1	0.360345	82.496832	0.129167	0.097861	0.281739	0.218261	0.281739	0.218261	
169000	-102.184441	1	0.067694	22.293284	0.119201	0.162960	0.145076	0.354924	0.145076	0.354924	
170000	-103.000591	1	0.583230	84.203819	0.097029	0.112831	0.158560	0.341440	0.158560	0.341440	
171000	-102.544172	1	1.244472	82.699900	0.109480	0.147445	0.138557	0.361443	0.138557	0.361443	
172000	-102.655843	1	0.360073	97.170037	0.211083	0.172831	0.244593	0.255407	0.244593	0.255407	
173000	-103.539135	1	0.489897	36.811873	0.150578	0.212275	0.170221	0.329779	0.170221	0.329779	
174000	-105.921258	1	0.229170	22.958753	0.096735	0.080558	0.265143	0.234857	0.265143	0.234857	
175000	-106.922590	1	2.368732	46.213894	0.126179	0.151766	0.167497	0.332503	0.167497	0.332503	
176000	-102.613806	1	0.749960	56.465913	0.130162	0.180206	0.153513	0.346487	0.153513	0.346487	
177000	-104.935155	1	2.005093	86.922990	0.258070	0.198126	0.251039	0.248961	0.251039	0.248961	
178000	-102.243013	1	0.279734	78.247927	0.180443	0.156778	0.235407	0.264593	0.235407	0.264593	
179000	-103.916492	1	0.129204	39.361073	0.265994	0.208406	0.249161	0.250839	0.249161	0.250839	
180000	-103.703864	1	0.031286	9.568717	0.244152	0.153272	0.280826	0.219174	0.280826	0.219174	
181000	-103.481728	1	0.165375	10.095898	0.224780	0.174081	0.251612	0.248388	0.251612	0.248388	
182000	-105.036954	1	0.377539	16.589668	0.260488	0.209114	0.247201	0.252799	0.247201	0.252799	
183000	-106.086172	1	2.166509	56.892823	0.095861	0.117660	0.145285	0.354715	0.145285	0.354715	
184000	-103.519853	1	0.531059	54.800670	0.097643	0.194142	0.092299	0.407701	0.092299	0.407701	
185000	-103.109575	1	1.260618	75.247109	0.089184	0.150146	0.090862	0.409138	0.090862	0.409138	
186000	-102.908703	1	0.450594	78.030427	0.208064	0.206015	0.223960	0.276040	0.223960	0.276040	
187000	-104.257158	1	1.565902	86.066718	0.100836	0.196097	0.097740	0.402260	0.097740	0.402260	
188000	-104.066126	1	0.949564	82.169234	0.227138	0.129353	0.309537	0.190463	0.309537	0.190463	
189000	-103.525002	1	1.779262	71.863088	0.117779	0.146520	0.156858	0.343142	0.156858	0.343142	
190000	-102.570169	1	0.364921	50.545258	0.083302	0.138450	0.084927	0.415073	0.084927	0.415073	
191000	-104.064021	1	0.624007	87.383400	0.279534	0.210947	0.251837	0.248163	0.251837	0.248163	
192000	-103.715411	1	0.100557	9.640681	0.111099	0.205366	0.114110	0.385890	0.114110	0.385890	
193000	-101.881621	1	0.465988	63.946371	0.148733	0.149397	0.206622	0.293378	0.206622	0.293378	
194000	-103.376910	1	0.230673	56.806673	0.147580	0.106470	0.287621	0.212379	0.287621	0.212379	
195000	-103.083528	1	0.086236	90.056351	0.146254	0.134736	0.223500	0.276500	0.223500	0.276500	
196000	-103.637569	1	0.950515	65.596925	0.220285	0.211516	0.229203	0.270797	0.229203	0.270797	
197000	-103.888419	1	0.273840	36.075909	0.223487	0.125798	0.314584	0.185416	0.314584	0.185416	
198000	-102.334194	1	0.438126	46.209431	0.112307	0.170733	0.127368	0.372632	0.127368	0.372632	
199000	-102.536272	1	0.500868	67.045457	0.206579	0.182339	0.234856	0.265144	0.234856	0.265144	
200000	-102.491835	1	0.777279	86.849099	0.132068	0.187304	0.153210	0.346790	0.153210	0.346790	
201000	-102.673710	1	1.337903	95.675869	0.170685	0.139791	0.247239	0.252761	0.247239	0.252761	
202000	-104.825718	1	1.564278	52.329073	0.108269	0.180727	0.115398	0.384602	0.115398	0.384602	
203000	-104.549511	1	0.332222	18.248070	0.237553	0.141388	0.294037	0.205963	0.294037	0.205963	
204000	-104.310821	1	2.618585	84.602595	0.141785	0.169386	0.177816	0.322184	0.177816	0.322184	
205000	-102.567854	1	0.490063	78.009157	0.206005	0.188164	0.230958	0.269042	0.230958	0.269042	
206000	-101.954003	1	0.712831	92.568745	0.162013	0.154905	0.217700	0.282300	0.217700	0.282300	
207000	-102.858326	1	0.180024	77.219598	0.115623	0.183022	0.127850	0.372150	0.127850	0.372150	
208000	-102.374591	1	0.410535	80.192397	0.199487	0.167797	0.240782	0.259218	0.240782	0.259218	
209000	-102.778155	1	0.088748	38.580856	0.167796	0.193874	0.195817	0.304183	0.195817	0.304183	
210000	-105.321625	1	1.967541	84.098427	0.259400	0.224106	0.242051	0.257949	0.242051	0.257949	
211000	-102.856797	1	0.557349	63.452774	0.128561	0.196529	0.144485	0.355515	0.144485	0.355515	
212000	-103.704728	1	1.713512	63.924489	0.137206	0.147349	0.191455	0.308545	0.191455	0.308545	
213000	-103.440646	1	2.303661	95.723529	0.129927	0.140607	0.187468	0.312532	0.187468	0.312532	
214000	-107.841723	1	1.800761	94.314892	0.275228	0.104569	0.379465	0.120535	0.379465	0.120535	
215000	-102.641108	1	0.128459	58.440644	0.186595	0.152062	0.246434	0.253566	0.246434	0.253566	
216000	-102.393358	1	0.558540	71.081179	0.101361	0.127627	0.143542	0.356458	0.143542	0.356458	
217000	-102.604781	1	0.424600	30.600056	0.106557	0.162733	0.120634	0.379366	0.120634	0.379366	
218000	-102.432293	1	0.183996	55.612519	0.135925	0.125562	0.222960	0.277040	0.222960	0.277040	
219000	-105.140660	1	0.665610	47.284690	0.262169	0.254678	0.236956	0.263044	0.236956	0.263044	
220000	-102.115272	1	0.074263	19.471597	0.108815	0.143010	0.141639	0.358361	0.141639	0.358361	
221000	-106.311726	1	0.569672	70.620672	0.030152	0.115885	0.004698	0.495302	0.004698	0.495302	
222000	-102.437040	1	0.458631	59.571836	0.096996	0.128360	0.131016	0.368984	0.131016	0.368984	
223000	-103.641570	1	2.389475	92.181061	0.136178	0.142516	0.195852	0.304148	0.195852	0.304148	
224000	-102.461857	1	0.582458	49.809157	0.156722	0.133339	0.240706	0.259294	0.240706	0.259294	
225000	-102.754707	1	0.345372	72.783679	0.207833	0.197197	0.227523	0.272477	0.227523	0.272477	
226000	-104.303354	1	0.333610	53.543044	0.052929	0.164886	0.022064	0.477936	0.022064	0.477936	
227000	-102.913362	1	1.169779	69.793948	0.153053	0.132218	0.237640	0.262360	0.237640	0.262360	
228000	-102.902361	1	0.155716	18.326760	0.200473	0.137188	0.278785	0.221215	0.278785	0.221215	
229000	-103.209946	1	0.356599	72.971971	0.135021	0.208436	0.150794	0.349206	0.150794	0.349206	
230000	-104.802421	1	0.692219	46.584266	0.289623	0.210378	0.254277	0.245723	0.254277	0.245723	
231000	-105.405804	1	0.790363	52.127246	0.248584	0.121986	0.333492	0.166508	0.333492	0.166508	
232000	-106.190152	1	0.215141	95.869652	0.030812	0.129116	0.004966	0.495034	0.004966	0.495034	
233000	-102.343419	1	0.366864	96.017416	0.147512	0.128737	0.235855	0.264145	0.235855	0.264145	
234000	-102.843714	1	1.013117	68.961187	0.091475	0.149091	0.096750	0.403250	0.096750	0.403250	
235000	-102.205938	1	0.278828	99.869986	0.150960	0.141978	0.219385	0.280615	0.219385	0.280615	
236000	-103.930329	1	0.830318	60.499542	0.247183	0.213440	0.240975	0.259025	0.240975	0.259025	
237000	-102.855795	1	1.290607	92.683861	0.087781	0.144594	0.091241	0.408759	0.091241	0.408759	
238000	-104.843943	1	0.870791	81.514793	0.204469	0.101645	0.362456	0.137544	0.362456	0.137544	
239000	-103.205620	1	0.857359	45.299342	0.096093	0.137710	0.117361	0.382639	0.117361	0.382639	
240000	-103.777579	1	2.165930	81.441771	0.163305	0.153880	0.220364	0.279636	0.220364	0.279636	
241000	-105.037727	1	0.532499	37.457254	0.300125	0.194111	0.263082	0.236918	0.263082	0.236918	
242000	-102.429675	1	0.494995	47.333141	0.113159	0.126808	0.174030	0.325970	0.174030	0.325970	
243000	-104.162255	1	1.275848	73.475811	0.119291	0.206151	0.127499	0.372501	0.127499	0.372501	
244000	-102.856435	1	0.259317	31.645796	0.075074	0.140322	0.064287	0.435713	0.064287	0.435713	
245000	-102.034923	1	0.650351	64.986653	0.127002	0.142367	0.179741	0.320259	0.179741	0.320259	
246000	-101.948466	1	0.251047	51.911204	0.138253	0.140393	0.202223	0.297777	0.202223	0.297777	
247000	-102.334978	1	1.290301	97.786212	0.128541	0.166538	0.159062	0.340938	0.159062	0.340938	
