spp	dS	SE
Lepelo	0.1284	0.035
Lepkam	0.1329	0.037
Lepken	0.1329	0.037
LepmeK	0.1449	0.0393
Lepmim	0.1543	0.0413
Leppro	0.1329	0.037
Lesper	0.137	0.036
Lessta	0.1367	0.0359
Limdar	0.1037	0.0312
Loblab	0.1156	0.0336
Mdcrot	0.1122	0.0324
Mdcten	0.121	0.0339
Neobif	0.1541	0.0412
Neobou	0.1346	0.0375
Neobre	0.1542	0.0411
Neobri	0.1637	0.0429
NeobrM	0.1537	0.0409
Neobue	0.1481	0.0385
NeocaK	0.1228	0.0349
Neocal	0.1542	0.0411
Neocau	0.1219	0.0347
Neochi	0.1673	0.0416
Neochr	0.1692	0.0422
Neocra	0.1557	0.0394
Neocyg	0.1488	0.0387
Neocyl	0.1473	0.0381
Neodev	0.1625	0.0425
Neoese	0.1582	0.0402
Neofal	0.1673	0.0416
NeofaM	0.1558	0.0393
Neofas	0.1331	0.037
Neofur	0.1529	0.0409
NeofuU	0.1529	0.0409
Neogra	0.1488	0.0387
NeogrM	0.1629	0.0427
Neohec	0.1247	0.0354
Neohel	0.1477	0.0386
Neokom	0.1426	0.0389
NeoleL	0.1529	0.0409
Neoleu	0.1529	0.0409
Neolon	0.1529	0.0409
Neolou	0.1219	0.0347
Neomar	0.1411	0.0379
Neomee	0.1448	0.0393
Neomod	0.1429	0.0389
Neomon	0.1429	0.0389
Neomul	0.14	0.0372
Neomux	0.1651	0.0409
Neonig	0.1529	0.0409
Neonve	0.1529	0.0409
Neoobs	0.1573	0.0401
Neooli	0.1508	0.0397
Neopec	0.1529	0.0409
Neopet	0.1429	0.0389
Neople	0.1329	0.037
Neopro	0.1527	0.0407
Neopul	0.1557	0.0394
Neosav	0.1391	0.037
Neosex	0.1491	0.0388
Neosim	0.14	0.0372
Neospl	0.1557	0.0394
Neotet	0.1468	0.038
Neotim	0.1586	0.0405
Neotoa	0.1765	0.0429
Neotre	0.1488	0.0387
Neovar	0.1394	0.0371
NeoveB	0.1357	0.0378
NeoveS	0.133	0.0368
Neowal	0.1669	0.0415
Ophboo	0.1302	0.0355
Ophhet	0.13	0.0354
Ophnas	0.1302	0.0355
Ophpar	0.1332	0.0366
Ophven	0.1302	0.0355
Ophwhi	0.1302	0.0355
Ortcho	0.1141	0.0331
Ortmaz	0.1282	0.0347
Ortred	0.1275	0.0345
Ortuvi	0.1234	0.0346
Pcybri	0.1121	0.0324
PcybrN	0.1125	0.0326
Pcynig	0.1129	0.0327
Pcytem	0.1138	0.0332
Perecc	0.1047	0.0316
Permic	0.1027	0.0305
Peteph	0.1046	0.0316
Petfam	0.1044	0.0313
Petfas	0.1143	0.0333
Petgia	0.1037	0.0312
Pethor	0.1139	0.0331
Petiko	0.1143	0.0333
Petkas	0.1049	0.0317
Petkip	0.1236	0.035
Petmac	0.1037	0.0312
Petmos	0.1046	0.0316
Petort	0.1143	0.0333
Petpol	0.1041	0.0313
Petrai	0.1037	0.0312
Petred	0.1046	0.0316
Pettex	0.1044	0.0314
Pettre	0.1048	0.0316
Phaacu	0.1205	0.0339
Pleela	0.1042	0.0314
Plemul	0.1056	0.0318
Plepar	0.1133	0.0329
Plestr	0.1132	0.0329
Pscbab	0.1047	0.0316
Psccur	0.1149	0.0334
Pscmar	0.104	0.0312
Pscmrg	0.104	0.0312
Pscple	0.1231	0.0349
Psephi	0.1225	0.0347
Regcal	0.1345	0.0374
Sarcar	0.1215	0.0341
Sermac	0.1299	0.0353
Simdia	0.1137	0.0333
Spaery	0.1396	0.0369
Spamar	0.1374	0.0363
Tanirs	0.1451	0.0373
Tchdha	0.1049	0.0317
Telbif	0.1458	0.0377
Telbra	0.1389	0.0368
Telbri	0.146	0.0378
TeldhN	0.1393	0.0369
TeldhS	0.1467	0.038
TeldhT	0.1462	0.0378
Tellon	0.1462	0.0378
Telluf	0.1533	0.0385
Telshe	0.1462	0.0378
TelteS	0.1395	0.037
Telvit	0.1462	0.0378
Thobra	0.112	0.0323
Trecap	0.1044	0.0313
Tremac	0.1117	0.0322
Tremar	0.1204	0.0336
Trenig	0.1198	0.0334
Tresti	0.114	0.033
Treuni	0.1038	0.0308
Trezeb	0.1193	0.0331
Trioto	0.1215	0.034
Troann	0.1135	0.0331
Trobri	0.1135	0.0331
TrobrK	0.1135	0.0331
Trodub	0.1135	0.0331
Trokir	0.1206	0.0337
Troluk	0.1141	0.0333
Trolun	0.1135	0.0331
Tromoo	0.1135	0.0331
Tromor	0.1135	0.0331
Trompi	0.1135	0.0331
Tronig	0.121	0.0338
Tropol	0.1135	0.0331
Trored	0.1135	0.0331
Varmoo	0.1579	0.0402
Xchhec	0.1042	0.0314
Xenbat	0.1306	0.0354
Xenbou	0.1204	0.0335
Xencau	0.0959	0.0301
Xenfla	0.1201	0.0335
Xenkil	0.1291	0.035
Xenlon	0.1129	0.0327
Xennas	0.1121	0.0324
XenniS	0.1135	0.0328
Xenoch	0.1288	0.0349
Xenorn	0.1137	0.0329
XenpaK	0.1124	0.0326
Xenpap	0.1136	0.0329
Xensim	0.1201	0.0335
Xensin	0.1288	0.0349
Xenspi	0.1122	0.0324
XenspN	0.1129	0.0326
Xensun	0.1124	0.0326
