,OT,VT,OTRa,OTRb.tr1,OTRb.tr2,OTRb.tr3,VTR1Aa.tr1,VTR1Aa.tr2,VTR1Ab,VTR2Aa,VTR2Ab.tr1,VTR2Ab.tr2,VTR2Ab.tr3,VTR2Ba,VTR2Bb.tr1,VTR2Bb.tr2
lesper_IRA2,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
lessta_JVH2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
lessta_JVH3,12,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
limdar_AWI5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
limdar_AWI6,0,0,0,0,0,0,0,0,0,0,11,11,11,0,1,0
loblab_ISD8,0,0,0,0,0,0,0,0,0,0,10,10,10,0,1,0
loblab_ISE5,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
mdcrot_JBE6,0,0,0,0,0,0,0,0,4,0,8,8,8,0,0,0
mdcrot_JBE7,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0
mdcten_LHG4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
mdcten_LHG6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
neobif_LHF6,0,0,0,0,0,0,0,0,0,0,5,5,5,0,1,0
neobif_LHF7,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
neobou_KCE5,0,0,0,0,0,0,0,0,0,0,13,13,13,0,0,0
neobou_KYB9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
neobre_ILB6,0,0,0,0,0,0,0,0,0,0,6,6,6,0,1,0
neobre_ILB7,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,0
neobri_JUH9,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neobri_JUI1,0,0,0,0,0,0,0,0,0,0,11,11,11,0,1,0
neobrM_KCI6,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
neobrM_KCI7,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,0
neobue_JEI4,0,0,0,0,0,0,0,0,9,0,11,11,27,0,0,0
neobue_JEI5,0,0,0,0,0,0,0,0,0,0,8,8,24,0,0,0
neocaK_LDG2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0
neocaK_LDG3,0,0,0,0,0,0,0,0,0,0,9,9,25,0,0,0
neocal_ILA7,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0
neocal_INC7,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0
neocau_IQA3,0,0,0,0,0,0,0,0,0,0,3,3,19,0,0,0
neocau_IQA4,0,0,0,0,0,0,0,0,0,0,11,11,27,0,1,0
neochi_KHA7,0,0,0,0,0,0,0,0,0,0,14,14,30,0,1,0
neochi_KHA9,0,0,0,0,0,0,0,0,0,0,3,3,3,49,0,0
neochr_ITG2,0,0,0,0,0,0,0,0,0,0,5,5,21,0,0,0
neochr_IZI8,0,0,0,0,0,0,0,0,0,0,33,33,49,0,0,0
neocra_IVE8,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neocra_IVF1,0,0,0,0,0,0,0,0,0,0,8,8,9,0,0,0
neocyg_LFD2,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
neocyg_LFD4,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
neocyl_GPH1,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neocyl_GPH2,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0
neodev_LEH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neoese_LFB7,0,0,0,0,0,0,0,0,0,0,3,3,19,0,0,0
neoese_LFB9,0,0,0,0,0,0,0,0,0,0,5,5,21,0,1,0
neofal_JXD4,0,0,0,0,0,0,0,0,0,0,9,9,25,0,1,0
neofal_JXD7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
neofaM_LCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neofaM_LCC2,0,0,0,0,0,0,0,0,0,0,8,8,24,0,1,0
neofas_AUE7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
neofas_AXD5,0,0,0,0,0,0,0,0,0,0,22,36,51,0,0,0
neofur_JEI6,0,0,0,0,0,0,0,0,0,0,9,9,50,0,0,0
neofur_JEI8,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
neofuU_LDF4,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1,0
neofuU_LDF5,0,0,0,0,0,0,0,0,0,0,8,8,49,0,0,0
neogra_JWH1,0,0,0,0,0,0,0,0,0,0,7,7,7,0,1,0
neogra_JWH2,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
neogrM_LCB4,0,0,0,0,0,0,0,0,0,0,14,14,14,0,0,0
neogrM_LCC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neohec_A142,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0
neohec_Bel13,0,0,0,0,0,0,0,0,0,0,10,10,10,2,0,0
neohec_Bel14,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neohel_JWG8,0,0,0,0,0,0,0,0,22,0,11,11,11,11,1,0
neohel_JWG9,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neokom_ILE5,0,0,0,50,50,12,0,0,0,7,0,0,0,0,0,0
neokom_ILE6,0,0,0,0,0,0,0,0,0,0,3,3,19,0,0,0
neoleL_JWH9,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neoleu_KEH3,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neoleu_LEE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neolon_JWI2,0,0,0,0,0,0,0,0,0,0,2,2,18,0,0,0
neolon_JWI3,0,0,0,0,0,0,0,0,0,0,2,2,18,0,1,0
neolou_LCA1,0,0,0,0,0,0,0,0,0,0,13,13,29,0,0,0
neolou_LCA2,0,0,0,0,0,0,0,0,0,0,14,14,30,0,0,0
neomar_JWH3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
neomar_JWH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neomee_JDF3,0,0,0,0,0,0,0,0,16,0,10,10,10,0,0,0
neomee_JDF4,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0
neomod_IMG9,0,0,0,0,0,0,0,0,0,0,8,8,38,0,0,0
neomod_IMH3,0,0,0,0,0,0,0,0,0,0,8,8,38,0,0,0
neomon_JVB4,0,0,0,0,0,0,0,0,0,0,1,1,42,0,0,0
neomon_JVB8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
neomul_IRF6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
neomul_IRF8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0
neomux_ILB4,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
neomux_ILH1,0,0,0,0,0,0,0,0,0,0,11,11,11,0,1,0
neonig_KYA1,0,0,0,0,0,0,0,0,0,0,8,8,24,0,1,0
neonig_KYA5,0,0,0,0,0,0,0,0,0,0,8,8,24,0,1,0
neonve_A108,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neonve_LJC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neoobs_IMA1,0,0,0,0,0,0,0,0,0,0,8,8,24,0,0,0
neoobs_IMA2,0,0,0,0,0,0,0,0,0,0,10,10,26,19,1,0
neooli_JWH5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
neooli_JWH6,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
neopec_JWA7,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neopec_JWI6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neopet_LGH8,0,0,0,0,0,0,0,0,0,0,8,8,24,0,0,0
neopet_LGI1,0,0,0,0,0,0,0,0,0,0,8,8,24,0,1,0
neople_JZF1,0,0,0,0,0,0,0,0,0,0,10,10,10,0,1,0
neople_JZF2,0,0,0,0,0,0,0,0,0,0,4,4,4,0,1,0
neopro_IVH1,0,0,0,0,0,0,0,0,0,0,8,8,24,0,0,0
neopro_IVH2,0,0,0,0,0,0,0,0,0,0,8,8,24,0,1,0
neopul_ISA6,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
neopul_ISB3,0,0,0,0,0,0,0,0,0,0,8,8,24,0,0,0
neosav_ISA8,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0
neosav_IYA4,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neosex_IND7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neosex_IND8,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neosim_KEC1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0
neosim_KEC2,0,0,0,0,0,0,0,0,0,0,11,11,27,0,0,0
neospl_A188,0,0,0,55,0,0,0,0,0,0,8,8,24,0,1,0
neospl_LJD3,0,0,0,0,0,0,0,0,0,0,2,2,18,0,1,0
neotet_IPF7,0,0,0,0,0,0,0,0,0,0,8,8,24,0,0,0
neotet_IPG3,0,0,0,0,0,0,0,0,0,0,6,6,22,0,0,0
neotim_LGE2,0,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0
neotim_LGE3,0,0,0,0,0,0,0,0,0,0,3,3,19,0,0,0
neotoa_JZD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neotoa_JZD6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
neotre_KFH4,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
